regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	combined_confidences	prior
FBgn0001981	FBgn0030847	-20.0	20.0	0.27739220872293546	0.99972347005946871	1.0
FBgn0032587	FBgn0029897	-20.0	20.0	0.25879978383817193	0.99945088584936126	0.0
FBgn0004396	FBgn0037989	-20.0	20.0	0.21485999938951417	0.9993788762691278	1.0
FBgn0035405	FBgn0266376	20.0	20.0	0.26757086937116176	0.99937131361914888	1.0
FBgn0001981	FBgn0014026	20.0	20.0	0.22497803387120091	0.99927727371071617	1.0
FBgn0001981	FBgn0039209	20.0	20.0	0.18276123147363321	0.99888434472268417	1.0
FBgn0001981	FBgn0028582	-20.0	20.0	0.21051585429092767	0.99876169826867922	1.0
FBgn0004396	FBgn0261822	-20.0	20.0	0.17489736385172777	0.9979935960795222	1.0
FBgn0001981	FBgn0259176	20.0	20.0	0.17269031881526753	0.99788278681678855	1.0
FBgn0004396	FBgn0016797	-20.0	20.0	0.16479043844610158	0.99760362638930811	1.0
FBgn0001981	FBgn0264895	20.0	20.0	0.14765229361630022	0.99686741885440977	1.0
FBgn0036900	FBgn0002609	-19.0	19.0	0.17162606040582934	0.94866571837612146	1.0
FBgn0001981	FBgn0086690	-19.0	19.0	0.17749097471129316	0.94841713735942512	1.0
FBgn0036900	FBgn0265297	19.0	19.0	0.17373664666484945	0.94802026264096939	1.0
FBgn0004396	FBgn0003165	-19.0	19.0	0.16026240806830011	0.94797932568782306	1.0
FBgn0001981	FBgn0023526	19.0	19.0	0.16394994152044912	0.94773682767219658	1.0
FBgn0004396	FBgn0243512	-19.0	19.0	0.1652743896969987	0.94753543101515092	1.0
FBgn0001981	FBgn0010409	19.0	19.0	0.15188933780230041	0.94750929055109356	1.0
FBgn0001981	FBgn0267795	19.0	19.0	0.14183343849097241	0.94743662334912282	1.0
FBgn0001981	FBgn0039776	-19.0	19.0	0.14746414455855156	0.94714628335210849	1.0
FBgn0004396	FBgn0010612	19.0	19.0	0.13678237591556497	0.94709400242399377	1.0
FBgn0032940	FBgn0086690	19.0	19.0	0.13917262681817766	0.94700094894816689	1.0
FBgn0001981	FBgn0033699	19.0	19.0	0.12799275403756205	0.94666358899693615	1.0
FBgn0004510	FBgn0014026	19.0	19.0	0.11928854792870119	0.94597078449669902	1.0
FBgn0043457	FBgn0022238	19.0	19.0	0.10693612356186522	0.94552458814794649	1.0
FBgn0001981	FBgn0011661	19.0	19.0	0.1063175600127938	0.94484099035203151	1.0
FBgn0032587	FBgn0033912	-18.0	18.0	0.28276826711104969	0.89959349112309295	0.0
FBgn0004396	FBgn0034709	-18.0	18.0	0.15780272008419022	0.89830685419408129	1.0
