regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	combined_confidences	prior
FBgn0004396	FBgn0003165	-20.0	20.0	0.2798586869437904	0.99942304868971099	1.0
FBgn0010109	FBgn0000635	-20.0	20.0	0.30903382571269633	0.99919381357089077	0.0
FBgn0004396	FBgn0034709	-20.0	20.0	0.21947772274523158	0.9987842811676052	1.0
FBgn0004396	FBgn0028342	20.0	20.0	0.2332549532838521	0.99857135866023661	1.0
FBgn0004396	FBgn0016797	-20.0	20.0	0.26370620117072613	0.99837303164732483	1.0
FBgn0004396	FBgn0005640	-20.0	20.0	0.22503931981489378	0.99833868930742664	1.0
FBgn0000591	FBgn0265298	20.0	20.0	0.24495119705857377	0.99818071454389512	1.0
FBgn0001981	FBgn0086690	-20.0	20.0	0.22316476196170498	0.99792915690414108	1.0
FBgn0004396	FBgn0025879	-20.0	20.0	0.21582383338913486	0.99773941547620382	1.0
FBgn0004396	FBgn0020503	-20.0	20.0	0.19676510762579169	0.99773082989122919	1.0
FBgn0001981	FBgn0014026	20.0	20.0	0.21715984416249701	0.99757285512769767	1.0
FBgn0010109	FBgn0029897	20.0	20.0	0.20046703836489221	0.9971410002034784	0.0
FBgn0004396	FBgn0263392	-20.0	20.0	0.19237439990387367	0.9970276704818144	1.0
FBgn0001981	FBgn0259176	20.0	20.0	0.17882002979734851	0.99689373535621162	1.0
FBgn0035691	FBgn0283680	20.0	20.0	0.19894488248307995	0.99674348761915721	1.0
FBgn0001981	FBgn0000097	20.0	20.0	0.17056660307992794	0.99665333897692454	1.0
FBgn0004396	FBgn0052666	-20.0	20.0	0.16814932700002966	0.99648935430391083	1.0
FBgn0023094	FBgn0036111	-20.0	20.0	0.17624686030837511	0.99648592006992098	1.0
FBgn0004396	FBgn0032297	-20.0	20.0	0.16449437776649928	0.99639062007670365	1.0
FBgn0010768	FBgn0034398	20.0	20.0	0.18191869868456617	0.99627557323804483	1.0
FBgn0004396	FBgn0014020	-20.0	20.0	0.15862667079341808	0.99603603541725516	1.0
FBgn0001981	FBgn0003360	20.0	20.0	0.15882007737618514	0.99541100483110867	1.0
FBgn0001981	FBgn0261800	-20.0	20.0	0.1328365976337153	0.99340283650556394	1.0
FBgn0002985	FBgn0260799	20.0	20.0	0.11816585124190743	0.99301820229870452	1.0
FBgn0004914	FBgn0026199	-20.0	20.0	0.12882449901858301	0.99289714555056352	1.0
FBgn0010109	FBgn0267910	-19.0	19.0	0.42245389844569675	0.94991684860952164	0.0
FBgn0001981	FBgn0023526	19.0	19.0	0.27779162276240232	0.94943004594146518	1.0
FBgn0004396	FBgn0261822	-19.0	19.0	0.21616627555443646	0.94892092075247503	1.0
FBgn0040918	FBgn0004403	-19.0	19.0	0.2009330708451415	0.94806837216450324	1.0
FBgn0004396	FBgn0040773	19.0	19.0	0.19005434311019231	0.94750601634867093	1.0
FBgn0004396	FBgn0259735	-19.0	19.0	0.17549477584790552	0.94714413394199404	1.0
FBgn0033616	FBgn0064225	-19.0	19.0	0.17207814678783051	0.946842350630139	1.0
FBgn0001981	FBgn0037607	19.0	19.0	0.17570050318049418	0.94674318712368311	1.0
FBgn0003053	FBgn0262801	19.0	19.0	0.17521900620720443	0.94642079840788917	1.0
FBgn0004396	FBgn0003360	19.0	19.0	0.1503653441724857	0.94591854168687861	1.0
FBgn0001981	FBgn0263396	19.0	19.0	0.16621500926026489	0.94582195385591494	1.0
FBgn0001981	FBgn0028582	-19.0	19.0	0.15765708801575118	0.94579576782174268	1.0
FBgn0015904	FBgn0260439	19.0	19.0	0.14828881920873999	0.9445173742190337	1.0
FBgn0023094	FBgn0086686	-19.0	19.0	0.1339104788246156	0.94389449002913084	1.0
FBgn0043457	FBgn0265413	-18.0	18.0	0.23834005240888123	0.89905756033734485	0.0
FBgn0001981	FBgn0267795	18.0	18.0	0.16791529633272195	0.89666346996719448	1.0
FBgn0001168	FBgn0024811	18.0	18.0	0.15873618966145875	0.89637241863655759	1.0
FBgn0001981	FBgn0022893	18.0	18.0	0.1520483551704766	0.89627711864334025	1.0
