regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	combined_confidences	prior
FBgn0001981	FBgn0030847	-20.0	20.0	0.29160431704422246	0.9998320211943208	1.0
FBgn0001981	FBgn0014026	20.0	20.0	0.25013993471801316	0.99954850366696879	1.0
FBgn0004396	FBgn0037989	-20.0	20.0	0.24967187476043384	0.99950800116306138	1.0
FBgn0001981	FBgn0039209	20.0	20.0	0.24373117718652865	0.9994368020246136	1.0
FBgn0001981	FBgn0259789	20.0	20.0	0.22373205594346457	0.99911150296691498	1.0
FBgn0001981	FBgn0028582	-20.0	20.0	0.21426619374678796	0.99908805414886337	1.0
FBgn0035405	FBgn0266376	20.0	20.0	0.21442701661344521	0.9988906577350829	1.0
FBgn0004396	FBgn0034709	-20.0	20.0	0.24890163769192952	0.99883736496678366	1.0
FBgn0004396	FBgn0261822	-20.0	20.0	0.2065542076377832	0.99880197856863295	1.0
FBgn0004396	FBgn0016797	-20.0	20.0	0.19364257873473584	0.99868686618910663	1.0
FBgn0001981	FBgn0267795	20.0	20.0	0.194304626660043	0.99861694607709806	1.0
FBgn0004396	FBgn0243512	-20.0	20.0	0.17609481035052027	0.99781883357904855	1.0
FBgn0001981	FBgn0259176	20.0	20.0	0.17827407436277526	0.99748628670486128	1.0
FBgn0004396	FBgn0025879	-20.0	20.0	0.16234473127480836	0.99737629043109155	1.0
FBgn0001981	FBgn0010409	20.0	20.0	0.15292338783737691	0.99732598205781708	1.0
FBgn0004396	FBgn0259735	-20.0	20.0	0.15715675047451716	0.99729315371254479	1.0
FBgn0004396	FBgn0010612	20.0	20.0	0.15238900147163553	0.99722408628482895	1.0
FBgn0001981	FBgn0004646	-20.0	20.0	0.14195070544796079	0.99644729089409911	1.0
FBgn0001981	FBgn0263396	20.0	20.0	0.13672600198971668	0.99554259285945124	1.0
FBgn0040918	FBgn0004403	-19.0	19.0	0.18242797306506825	0.9483055884075865	1.0
FBgn0004396	FBgn0003165	-19.0	19.0	0.20636067221195109	0.94823097853196758	1.0
FBgn0045759	FBgn0034083	19.0	19.0	0.18329442440010252	0.9482267151105036	1.0
FBgn0001981	FBgn0039776	-19.0	19.0	0.17908823783549171	0.94781017883347674	1.0
FBgn0001981	FBgn0086690	-19.0	19.0	0.15826572286294976	0.94754200962339497	1.0
FBgn0001981	FBgn0052666	-19.0	19.0	0.15849113454595709	0.94742391284884375	1.0
FBgn0001981	FBgn0036576	19.0	19.0	0.14482518047885012	0.94721798959213555	1.0
FBgn0004396	FBgn0014020	-19.0	19.0	0.13356826593341709	0.94686924171638531	1.0
FBgn0004510	FBgn0014026	19.0	19.0	0.1358983589024722	0.9467662800880311	1.0
FBgn0035691	FBgn0000181	-19.0	19.0	0.13755110799917847	0.94671170829329265	1.0
FBgn0001981	FBgn0033699	19.0	19.0	0.14978860319481296	0.9465850846758137	1.0
FBgn0004396	FBgn0005640	-19.0	19.0	0.13559126019105228	0.94624571632728416	1.0
FBgn0001981	FBgn0285955	-19.0	19.0	0.14034921662856947	0.94599012421052098	1.0
FBgn0001981	FBgn0264895	19.0	19.0	0.12518011345798163	0.94527728014175028	1.0
FBgn0001981	FBgn0000635	-18.0	18.0	0.28982827416144324	0.89983069953366701	0.0
FBgn0001981	FBgn0010198	18.0	18.0	0.29108404797072507	0.89979062337190596	0.0
FBgn0004170	FBgn0000463	18.0	18.0	0.19596578436844481	0.89847599736350015	1.0
FBgn0038197	FBgn0040529	18.0	18.0	0.15318033851108009	0.89804944204603299	1.0
FBgn0001981	FBgn0003360	18.0	18.0	0.16848486880476859	0.89765400970525266	1.0
FBgn0005612	FBgn0000299	-18.0	18.0	0.14595071729434911	0.89754849002402015	0.0
FBgn0004396	FBgn0032297	-18.0	18.0	0.14340155845751423	0.89728479740647549	1.0
FBgn0038766	FBgn0004432	18.0	18.0	0.13821183067880782	0.89672287845752818	1.0
FBgn0001981	FBgn0052105	-18.0	18.0	0.12979561279012153	0.89646835219613108	1.0
FBgn0001981	FBgn0016797	-18.0	18.0	0.13303910195578661	0.89634279443401799	1.0
FBgn0004198	FBgn0058469	18.0	18.0	0.13451531756070667	0.89628076165171766	1.0
FBgn0001981	FBgn0031474	-18.0	18.0	0.11581608192475112	0.89503776112390609	1.0
FBgn0001981	FBgn0267910	-17.0	17.0	0.23962947400207213	0.84927483464319853	0.0
FBgn0036900	FBgn0064225	-17.0	17.0	0.20496133005254996	0.84916846227767318	1.0
FBgn0001981	FBgn0284243	17.0	17.0	0.1596507022814872	0.84866090195239119	1.0
FBgn0001981	FBgn0023526	17.0	17.0	0.1616649160357273	0.84837951613577123	1.0
FBgn0032587	FBgn0034398	17.0	17.0	0.14576536199738482	0.84786811873117163	1.0
FBgn0036900	FBgn0265297	17.0	17.0	0.16785580875308487	0.84783891429414371	1.0
FBgn0004396	FBgn0062978	-17.0	17.0	0.13955022949134832	0.84741875410887246	1.0
FBgn0019650	FBgn0000139	17.0	17.0	0.14145629151801908	0.84735693449764526	1.0
FBgn0001981	FBgn0030400	17.0	17.0	0.1246218576339852	0.8465912240027218	1.0
FBgn0036900	FBgn0032518	-17.0	17.0	0.12559256193019697	0.8465451790509112	1.0
FBgn0032940	FBgn0027865	17.0	17.0	0.12632657508715794	0.84626805665575511	1.0
FBgn0004396	FBgn0001269	-17.0	17.0	0.12134503490781368	0.84625441370707055	1.0
FBgn0001981	FBgn0261552	17.0	17.0	0.12123566386938595	0.84618555945042795	1.0
FBgn0001981	FBgn0000097	17.0	17.0	0.11833044688992161	0.84617276918603612	1.0
FBgn0004396	FBgn0020503	-17.0	17.0	0.10814866221767577	0.84607407097914589	1.0
FBgn0001981	FBgn0264491	-17.0	17.0	0.11166109035868466	0.84565284493850867	1.0
FBgn0001981	FBgn0283741	17.0	17.0	0.1168638479298183	0.84558718824796397	1.0
FBgn0001981	FBgn0037016	-17.0	17.0	0.10160838551671963	0.84554561988869059	1.0
FBgn0004396	FBgn0261461	-17.0	17.0	0.10975949818319353	0.84553346913751837	1.0
FBgn0032940	FBgn0038476	17.0	17.0	0.111199526470451	0.84547612611882839	1.0
FBgn0013263	FBgn0040153	17.0	17.0	0.10418565433106813	0.84544415045784882	1.0
FBgn0040918	FBgn0034743	-16.0	16.0	0.21280206242815319	0.79949363343272795	0.0
FBgn0036900	FBgn0002590	-16.0	16.0	0.23774690906264195	0.79937766836890878	1.0
FBgn0001981	FBgn0011591	-16.0	16.0	0.20426606958032067	0.79919178319308093	0.0
FBgn0040918	FBgn0003942	-16.0	16.0	0.187302950654615	0.79909862743409388	0.0
FBgn0000567	FBgn0267001	16.0	16.0	0.19792904976607806	0.79898927067354386	1.0
FBgn0004396	FBgn0000150	16.0	16.0	0.22107887183103792	0.79894812865641684	1.0
FBgn0035691	FBgn0004635	16.0	16.0	0.17268895116735855	0.79876266982273547	1.0
FBgn0001981	FBgn0037686	16.0	16.0	0.12701443386446132	0.7975637957070757	0.0
FBgn0035849	FBgn0000043	16.0	16.0	0.14204551110582131	0.79729669235235989	1.0
FBgn0036900	FBgn0000100	-16.0	16.0	0.14041455137615289	0.79694709179231682	1.0
FBgn0001981	FBgn0001149	16.0	16.0	0.10430397727059049	0.79638645186980872	1.0
FBgn0001981	FBgn0022893	16.0	16.0	0.1193467278740068	0.79635191815595086	1.0
FBgn0036900	FBgn0002643	16.0	16.0	0.10617922672631075	0.79631695809994651	1.0
FBgn0032940	FBgn0015288	16.0	16.0	0.1047911284210073	0.79619822181217581	1.0
FBgn0004396	FBgn0033699	16.0	16.0	0.10949296112267914	0.79617221494124579	1.0
FBgn0032940	FBgn0086690	16.0	16.0	0.10212755112873384	0.79609632603918767	1.0
FBgn0001981	FBgn0016693	-16.0	16.0	0.099149152823014175	0.79604580449483997	1.0
FBgn0001981	FBgn0264975	-16.0	16.0	0.10552735658035711	0.79582986219769147	1.0
FBgn0003345	FBgn0058469	16.0	16.0	0.094037782073930376	0.795098898587699	1.0
FBgn0000286	FBgn0260799	16.0	16.0	0.093662136013548836	0.7944018291783449	1.0
FBgn0017578	FBgn0010265	15.0	15.0	0.24605554458831985	0.74971520344620879	0.0
FBgn0001981	FBgn0002622	15.0	15.0	0.18050143839185911	0.74911512687515935	0.0
FBgn0005612	FBgn0038492	15.0	15.0	0.20830874866158433	0.74908656195135093	0.0
FBgn0040918	FBgn0035753	-15.0	15.0	0.1507713711082741	0.74849245417035093	1.0
FBgn0003345	FBgn0085409	15.0	15.0	0.13790589610443654	0.74769839192269227	1.0
FBgn0032223	FBgn0262801	15.0	15.0	0.12195596225042538	0.74755769901438218	1.0
FBgn0004396	FBgn0039633	-15.0	15.0	0.11984736956052422	0.74705035186017343	1.0
FBgn0004396	FBgn0015773	-15.0	15.0	0.11787539427201299	0.74694248729713575	1.0
FBgn0015904	FBgn0260439	15.0	15.0	0.10686684764191084	0.74658478623631119	1.0
FBgn0036900	FBgn0031673	15.0	15.0	0.10252286739024813	0.74652573784903564	1.0
FBgn0004396	FBgn0019936	15.0	15.0	0.098406022070186006	0.74616611824855239	1.0
FBgn0032940	FBgn0000253	-15.0	15.0	0.10580096966170693	0.74614821187840386	1.0
FBgn0023094	FBgn0013746	15.0	15.0	0.095547941642072698	0.74609619813654371	1.0
FBgn0001981	FBgn0003525	-15.0	15.0	0.099350660841645733	0.7458909143930551	1.0
FBgn0001981	FBgn0086758	15.0	15.0	0.10169076579164393	0.74569799457181174	1.0
FBgn0023215	FBgn0035871	15.0	15.0	0.10047236929449604	0.74553598455618209	1.0
FBgn0001981	FBgn0011661	15.0	15.0	0.091722678081700482	0.74539252042392057	1.0
FBgn0001235	FBgn0039857	-15.0	15.0	0.094859979721729826	0.74530298857317778	1.0
FBgn0036423	FBgn0003165	-15.0	15.0	0.095267562390047245	0.74526248606927037	1.0
FBgn0004396	FBgn0263392	-15.0	15.0	0.085349074634863298	0.74499069295094422	1.0
FBgn0001981	FBgn0031011	15.0	15.0	0.081863049647863617	0.74424352833938878	1.0
FBgn0040918	FBgn0261597	-14.0	14.0	0.21367830790176989	0.69959889730867253	0.0
FBgn0032587	FBgn0029897	-14.0	14.0	0.24185661560178928	0.69953132207846913	0.0
FBgn0040918	FBgn0010408	-14.0	14.0	0.19082958949096812	0.69934223933654338	0.0
FBgn0001981	FBgn0010411	14.0	14.0	0.17147603747760504	0.69904827642660472	1.0
FBgn0000459	FBgn0037891	14.0	14.0	0.14101362299558895	0.69844436277623778	1.0
FBgn0004865	FBgn0050410	-14.0	14.0	0.12875349840035705	0.69834481188505471	0.0
FBgn0017578	FBgn0010408	14.0	14.0	0.12976035593730922	0.69832754502812577	1.0
FBgn0010323	FBgn0016120	-14.0	14.0	0.13171279510069023	0.69802569478847887	1.0
FBgn0001981	FBgn0032518	14.0	14.0	0.12305842858224264	0.69748679831543692	0.0
FBgn0000591	FBgn0265298	14.0	14.0	0.11715498117733741	0.69740472745225612	1.0
FBgn0004865	FBgn0000017	14.0	14.0	0.1080500796363264	0.69726829796541001	1.0
FBgn0261113	FBgn0024754	14.0	14.0	0.11602504952055437	0.69722225301359941	1.0
FBgn0035997	FBgn0034083	-14.0	14.0	0.11744211322419962	0.69709349768538853	1.0
FBgn0004396	FBgn0028342	14.0	14.0	0.10206370271755916	0.69699501264957153	1.0
FBgn0002521	FBgn0266376	14.0	14.0	0.10102360669827493	0.69669294923885139	1.0
FBgn0004510	FBgn0010198	14.0	14.0	0.099290475092583153	0.69667525603977598	1.0
FBgn0001168	FBgn0024811	14.0	14.0	0.094416149701297802	0.69662004473181804	1.0
FBgn0003964	FBgn0032640	14.0	14.0	0.099919396759742318	0.69657655783288586	1.0
FBgn0000028	FBgn0003862	14.0	14.0	0.1055060921093372	0.69656419391064039	1.0
FBgn0001981	FBgn0261113	14.0	14.0	0.093561053367631264	0.69648958403502148	1.0
FBgn0004198	FBgn0039928	14.0	14.0	0.097496670834323229	0.69645547666330998	1.0
FBgn0004914	FBgn0039112	14.0	14.0	0.088798392459932707	0.69607283458692137	1.0
FBgn0004666	FBgn0032444	14.0	14.0	0.08703328932981802	0.69588034110782448	1.0
FBgn0263108	FBgn0032400	14.0	14.0	0.083758494978630638	0.69584197031464901	1.0
FBgn0004396	FBgn0034723	-14.0	14.0	0.087737675295216144	0.69578611949347147	1.0
FBgn0035997	FBgn0040890	14.0	14.0	0.081791156209389759	0.69520757320081483	1.0
FBgn0001981	FBgn0261800	-14.0	14.0	0.083060361925359816	0.69519734098930142	1.0
