regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	combined_confidences	prior
FBgn0004396	FBgn0037989	-20.0	20.0	0.16428390870296838	0.99868797702214729	1.0
FBgn0001180	FBgn0035868	20.0	20.0	0.15676513611436638	0.99815075854963942	1.0
FBgn0001981	FBgn0039209	20.0	20.0	0.12626908013307769	0.99713009515721329	1.0
FBgn0035405	FBgn0266376	19.0	19.0	0.21739113280340944	0.94936793454621138	1.0
FBgn0003118	FBgn0051121	19.0	19.0	0.17628908537781163	0.94886975360467007	1.0
FBgn0004396	FBgn0025879	-19.0	19.0	0.14011574763269058	0.94805500672492571	1.0
FBgn0052105	FBgn0027066	19.0	19.0	0.14540520478661861	0.94803846101643652	1.0
FBgn0038766	FBgn0029676	19.0	19.0	0.14614178562075553	0.94741747989470204	1.0
FBgn0004510	FBgn0010409	19.0	19.0	0.11286920881015139	0.94598834432394951	1.0
FBgn0032223	FBgn0029791	18.0	18.0	0.19526508721269248	0.89912352987179012	1.0
FBgn0032587	FBgn0034743	-18.0	18.0	0.18344078348893417	0.89875150995747877	0.0
FBgn0038197	FBgn0010217	18.0	18.0	0.14471694311646666	0.89847798871401707	1.0
FBgn0004396	FBgn0034709	-18.0	18.0	0.14985497812234644	0.89811837808107264	1.0
FBgn0005558	FBgn0027601	18.0	18.0	0.13658839058092531	0.89790044007706682	1.0
FBgn0004396	FBgn0016797	-18.0	18.0	0.12439627602445863	0.8974787830372879	1.0
FBgn0000567	FBgn0016685	-18.0	18.0	0.1305784721439282	0.89739799344505566	1.0
FBgn0004396	FBgn0261822	-18.0	18.0	0.12974985169479869	0.89717927986096435	1.0
FBgn0034599	FBgn0004876	18.0	18.0	0.13875984049231033	0.89716027814887134	1.0
FBgn0004396	FBgn0019936	18.0	18.0	0.11577436311497352	0.89694259867156056	1.0
FBgn0034946	FBgn0033571	18.0	18.0	0.11157834528670268	0.89617567923041774	1.0
FBgn0036900	FBgn0015509	18.0	18.0	0.10870027013300376	0.89615538488484903	1.0
FBgn0001981	FBgn0264895	18.0	18.0	0.097298097625409807	0.89589879713991916	1.0
FBgn0035997	FBgn0051638	18.0	18.0	0.10117650060916522	0.8958517452814031	1.0
FBgn0004396	FBgn0259735	-18.0	18.0	0.096065069745912335	0.89523218605649191	1.0
FBgn0032587	FBgn0029897	-17.0	17.0	0.21632664402833907	0.84959511487956862	0.0
FBgn0032223	FBgn0030897	17.0	17.0	0.17758756946945103	0.8493995394346926	0.0
FBgn0017578	FBgn0010265	17.0	17.0	0.1829649737891958	0.84913687631242696	0.0
FBgn0027339	FBgn0030136	17.0	17.0	0.17054791677062248	0.84903269005428417	1.0
FBgn0011648	FBgn0259923	17.0	17.0	0.13393466951021843	0.8480960478377797	1.0
FBgn0002521	FBgn0086355	17.0	17.0	0.14694303128982988	0.84791223535753268	1.0
FBgn0027339	FBgn0002592	17.0	17.0	0.12798186573491283	0.84774134921204292	1.0
FBgn0038197	FBgn0040529	17.0	17.0	0.12510666383827168	0.84758907698860353	1.0
FBgn0001981	FBgn0259176	17.0	17.0	0.10761547326791004	0.84691199557402297	1.0
FBgn0023094	FBgn0040491	-17.0	17.0	0.10178212644423745	0.846519034997405	1.0
FBgn0000014	FBgn0028327	-17.0	17.0	0.10285821581534821	0.84647508545923067	1.0
FBgn0023094	FBgn0013746	17.0	17.0	0.1065958269018849	0.84647237092893168	1.0
FBgn0032940	FBgn0261113	-17.0	17.0	0.10424991363596681	0.84565995078944356	1.0
FBgn0032587	FBgn0032987	-16.0	16.0	0.26112349157131765	0.79988508488400878	0.0
FBgn0040918	FBgn0035753	-16.0	16.0	0.19043600754904977	0.79949302915082388	1.0
FBgn0032587	FBgn0261597	-16.0	16.0	0.16254471179227015	0.79909916373077283	0.0
FBgn0013263	FBgn0015609	16.0	16.0	0.12756136191068296	0.79836352601974236	1.0
FBgn0001168	FBgn0024811	16.0	16.0	0.13341345204844918	0.79796229258887985	1.0
FBgn0005612	FBgn0027601	16.0	16.0	0.12503982502710542	0.79788835395406887	1.0
FBgn0030673	FBgn0036801	16.0	16.0	0.12895019371279137	0.79785823559408464	1.0
FBgn0003345	FBgn0030306	16.0	16.0	0.11555224451773316	0.79753947217897281	1.0
FBgn0004396	FBgn0003165	-16.0	16.0	0.10944081534111894	0.79749112768698105	1.0
FBgn0003507	FBgn0026418	16.0	16.0	0.10289471664592614	0.7972205795005135	1.0
FBgn0030432	FBgn0030518	16.0	16.0	0.10965149705009208	0.79689263838772417	1.0
FBgn0000591	FBgn0263979	16.0	16.0	0.10180966272722175	0.79680822942175977	1.0
FBgn0001981	FBgn0028582	-16.0	16.0	0.10321307484484921	0.79678276454228814	1.0
FBgn0043457	FBgn0022238	16.0	16.0	0.10625032371049054	0.79668891935195119	1.0
FBgn0036900	FBgn0002609	-16.0	16.0	0.094866548548179719	0.79658344046033258	1.0
FBgn0259789	FBgn0036398	16.0	16.0	0.10679200619408313	0.7964811931524034	1.0
FBgn0001981	FBgn0023526	16.0	16.0	0.096808095405920613	0.79647072282125009	1.0
FBgn0032587	FBgn0002733	-15.0	15.0	0.179456262605664	0.74943114432317393	0.0
FBgn0032587	FBgn0003942	-15.0	15.0	0.18333825761660583	0.7492138526359059	0.0
FBgn0017578	FBgn0015834	15.0	15.0	0.14600373242818465	0.74894744087656062	1.0
FBgn0000567	FBgn0015399	15.0	15.0	0.12662353516455582	0.74831159446985551	1.0
FBgn0003118	FBgn0011666	15.0	15.0	0.10876459941643613	0.74811033143768635	1.0
FBgn0038766	FBgn0004432	15.0	15.0	0.11015215057619065	0.74783681019422465	1.0
FBgn0000286	FBgn0061515	15.0	15.0	0.10378057083694003	0.74747526061106662	1.0
FBgn0001981	FBgn0030847	-15.0	15.0	0.11438911998915285	0.74742782096250782	1.0
FBgn0030505	FBgn0003274	15.0	15.0	0.10160060244483138	0.74740196829299343	1.0
FBgn0033616	FBgn0030294	15.0	15.0	0.1123595398376171	0.74713154936987347	1.0
FBgn0001291	FBgn0042134	15.0	15.0	0.092233039716270893	0.7468993923976347	1.0
FBgn0004396	FBgn0010612	15.0	15.0	0.1018184038420295	0.74688788795970085	1.0
FBgn0001981	FBgn0039776	-15.0	15.0	0.094043734146812163	0.74666904511226195	1.0
FBgn0001981	FBgn0267795	15.0	15.0	0.093498690770536408	0.74657610476535796	1.0
FBgn0013263	FBgn0039830	-15.0	15.0	0.09984846370047884	0.74653861839456215	1.0
FBgn0001981	FBgn0086690	-15.0	15.0	0.084633831997366515	0.7457309809989342	1.0
FBgn0023094	FBgn0261811	-15.0	15.0	0.083827674038568001	0.74497104177856022	1.0
FBgn0000567	FBgn0003137	14.0	14.0	0.23840379133005296	0.69995378835324307	0.0
FBgn0032587	FBgn0033912	-14.0	14.0	0.20355662575327482	0.69968362795681827	0.0
FBgn0032587	FBgn0010412	-14.0	14.0	0.18466493237710402	0.69954971112873399	0.0
FBgn0040918	FBgn0261597	-14.0	14.0	0.16816298108628452	0.69936046958788911	0.0
FBgn0032587	FBgn0039359	-14.0	14.0	0.15707848197639379	0.69933642660524076	0.0
FBgn0005612	FBgn0033518	14.0	14.0	0.12436363291378394	0.69904403291303352	1.0
FBgn0017578	FBgn0032987	14.0	14.0	0.13709761261915226	0.69880243971642209	0.0
FBgn0010109	FBgn0259789	14.0	14.0	0.12629546743208242	0.69873134487525768	1.0
FBgn0038766	FBgn0267727	14.0	14.0	0.1203689265620338	0.69862328071668767	1.0
FBgn0040918	FBgn0004403	-14.0	14.0	0.13730061079843747	0.69846519164260756	1.0
FBgn0259938	FBgn0000463	14.0	14.0	0.11388470641689269	0.69832235564354084	1.0
FBgn0036900	FBgn0064225	-14.0	14.0	0.11348045315709931	0.69806188999818386	1.0
FBgn0086758	FBgn0030136	14.0	14.0	0.10013638333516617	0.69759227625645592	1.0
FBgn0004198	FBgn0058469	14.0	14.0	0.10914370453504069	0.69742798254169225	1.0
FBgn0001981	FBgn0030400	14.0	14.0	0.100686163981345	0.69733258619118432	1.0
FBgn0004510	FBgn0010198	14.0	14.0	0.099987187419655787	0.69731474784921943	1.0
FBgn0000591	FBgn0265298	14.0	14.0	0.092874339914174819	0.69725037470212881	1.0
FBgn0000611	FBgn0038830	14.0	14.0	0.10123364788103406	0.6971838040781293	1.0
FBgn0001981	FBgn0261113	14.0	14.0	0.092041404310026498	0.69708995888779235	1.0
FBgn0001981	FBgn0014026	14.0	14.0	0.092727110897500464	0.69708233235028561	1.0
