regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	combined_confidences	prior
FBgn0035405	FBgn0266376	20.0	20.0	0.26052613863573482	0.99976109806226721	1.0
FBgn0004396	FBgn0037989	-20.0	20.0	0.22083896067061415	0.9996110660034333	1.0
FBgn0052105	FBgn0027066	20.0	20.0	0.16761113954958012	0.99848859633207532	1.0
FBgn0001981	FBgn0039209	20.0	20.0	0.14493851880536168	0.99817519147046196	1.0
FBgn0038766	FBgn0029676	20.0	20.0	0.14386875553574546	0.99765757060537419	1.0
FBgn0001180	FBgn0035868	20.0	20.0	0.14989466443281768	0.99763848307942138	1.0
FBgn0004396	FBgn0003165	-19.0	19.0	0.18474793750978957	0.94947593452937551	1.0
FBgn0004396	FBgn0025879	-19.0	19.0	0.19593672508805404	0.9491716629463095	1.0
FBgn0004893	FBgn0261599	19.0	19.0	0.1725829274475576	0.94891952288573833	1.0
FBgn0003507	FBgn0026418	19.0	19.0	0.16240837716943662	0.94879771163140469	1.0
FBgn0004396	FBgn0261822	-19.0	19.0	0.1773831338878693	0.94873993594800965	1.0
FBgn0004396	FBgn0032297	-19.0	19.0	0.16334620991582555	0.94865188703796899	1.0
FBgn0038197	FBgn0010217	19.0	19.0	0.16242277903646879	0.94862664224557969	1.0
FBgn0004396	FBgn0019936	19.0	19.0	0.17326982695556847	0.94848102289435854	1.0
FBgn0004396	FBgn0259735	-19.0	19.0	0.14229081508480712	0.94745481182162317	1.0
FBgn0030673	FBgn0031436	19.0	19.0	0.12008356702530731	0.94738492684756992	1.0
FBgn0004396	FBgn0016797	-19.0	19.0	0.14427056673096339	0.94724556738389243	1.0
FBgn0023094	FBgn0011016	19.0	19.0	0.12076765337857265	0.94661383184751657	1.0
FBgn0001981	FBgn0030847	-19.0	19.0	0.11631824187225176	0.94635122443400355	1.0
FBgn0005694	FBgn0263706	19.0	19.0	0.10379438399858387	0.94582765154469395	1.0
FBgn0005694	FBgn0003165	19.0	19.0	0.098474908618381318	0.9452777050308151	1.0
FBgn0000567	FBgn0003137	18.0	18.0	0.19897715227739615	0.89961582762281078	0.0
FBgn0032223	FBgn0029791	18.0	18.0	0.21653139627046097	0.8995278813338774	1.0
FBgn0004396	FBgn0034709	-18.0	18.0	0.19738920996445419	0.89943849834944212	1.0
FBgn0086758	FBgn0030136	18.0	18.0	0.15727753322629401	0.8984952051313837	1.0
FBgn0040918	FBgn0004403	-18.0	18.0	0.15932438408260557	0.89843691634245237	1.0
FBgn0003118	FBgn0051121	18.0	18.0	0.14307003250426908	0.89834301802929706	1.0
FBgn0004396	FBgn0044047	-18.0	18.0	0.12533777374537258	0.89767013142890451	1.0
FBgn0043457	FBgn0022238	18.0	18.0	0.12381442641933987	0.89757397545138917	1.0
FBgn0005694	FBgn0259735	18.0	18.0	0.094985364474715561	0.89626391439593522	1.0
FBgn0040918	FBgn0037686	-17.0	17.0	0.20548771224333884	0.8496984581383874	0.0
FBgn0040918	FBgn0035753	-17.0	17.0	0.2035187949011803	0.84907134055183886	1.0
FBgn0032587	FBgn0010412	-17.0	17.0	0.17744214584519857	0.84889298506739741	0.0
FBgn0004396	FBgn0010612	17.0	17.0	0.14813163166600202	0.84885983844974811	1.0
FBgn0004396	FBgn0062978	-17.0	17.0	0.17061925153587126	0.84874849454835632	1.0
FBgn0024321	FBgn0016691	17.0	17.0	0.15847376461072027	0.8485541301711802	1.0
FBgn0030673	FBgn0031245	17.0	17.0	0.15176141628945022	0.84852601198778732	1.0
FBgn0001325	FBgn0033518	17.0	17.0	0.12752247967339797	0.84821014421959928	1.0
FBgn0030432	FBgn0262467	17.0	17.0	0.12421171410092374	0.84800941733377233	1.0
FBgn0000370	FBgn0085279	-17.0	17.0	0.12619624076112179	0.84772710666766282	1.0
FBgn0001981	FBgn0037328	17.0	17.0	0.13009645742910753	0.84752545619187025	1.0
FBgn0004396	FBgn0014020	-17.0	17.0	0.12060997082268515	0.8470325670136355	1.0
FBgn0004396	FBgn0085370	-17.0	17.0	0.12369419202853194	0.84699839418491341	1.0
FBgn0004396	FBgn0028342	17.0	17.0	0.10856232635592117	0.84696175844961674	1.0
FBgn0001981	FBgn0259176	17.0	17.0	0.10387338371295574	0.84676575213472427	1.0
FBgn0035997	FBgn0033232	17.0	17.0	0.11276467759787889	0.84675128255859866	1.0
FBgn0001981	FBgn0264895	17.0	17.0	0.10521351980962151	0.84636358001531931	1.0
FBgn0013263	FBgn0015609	17.0	17.0	0.098443011865252505	0.84634921306030098	1.0
FBgn0039740	FBgn0041191	17.0	17.0	0.097921953077661716	0.84609389174540439	1.0
FBgn0004396	FBgn0005640	-17.0	17.0	0.085825069709432655	0.84565836776613557	1.0
FBgn0032223	FBgn0030897	16.0	16.0	0.15274128882285321	0.79889988120580624	0.0
FBgn0032587	FBgn0029897	-16.0	16.0	0.16092837083183126	0.79883174079057662	0.0
FBgn0259938	FBgn0000463	16.0	16.0	0.15253473222388719	0.7987892556521653	1.0
FBgn0005660	FBgn0010411	16.0	16.0	0.13746170138301578	0.79852551940647232	1.0
FBgn0036126	FBgn0028737	-16.0	16.0	0.1377123815876925	0.79832941047047268	0.0
FBgn0004396	FBgn0034723	-16.0	16.0	0.13058005040411752	0.79792980387874946	1.0
FBgn0000286	FBgn0061515	16.0	16.0	0.1144285341239677	0.79788978164691282	1.0
FBgn0004396	FBgn0020255	16.0	16.0	0.11766955730678047	0.79787315702753447	1.0
FBgn0000097	FBgn0267385	16.0	16.0	0.10405946253756182	0.79761229417284518	1.0
FBgn0001981	FBgn0010409	16.0	16.0	0.12908486462956192	0.79751028879221519	1.0
FBgn0000286	FBgn0031229	16.0	16.0	0.11457527231029679	0.79743075743407821	1.0
FBgn0001981	FBgn0028582	-16.0	16.0	0.11539784760834204	0.79708810555689191	1.0
FBgn0023094	FBgn0013746	16.0	16.0	0.10620068519480197	0.79648407771947982	1.0
FBgn0036423	FBgn0003525	16.0	16.0	0.10096914233515397	0.7962981282731002	1.0
FBgn0004396	FBgn0243512	-16.0	16.0	0.089025186879622853	0.79568660909485722	1.0
FBgn0001981	FBgn0039776	-16.0	16.0	0.089806583535329221	0.7953800798474312	1.0
FBgn0004396	FBgn0263392	-16.0	16.0	0.080835392131198003	0.79504707435432853	1.0
FBgn0259938	FBgn0267910	15.0	15.0	0.1753060768007077	0.74970896653977226	0.0
FBgn0032223	FBgn0036728	-15.0	15.0	0.16981289004918459	0.74931561983559281	0.0
FBgn0032223	FBgn0267001	15.0	15.0	0.19649048532557989	0.74930710228368902	1.0
FBgn0005660	FBgn0002622	15.0	15.0	0.11686781910531724	0.74819397113309305	1.0
FBgn0003345	FBgn0030306	15.0	15.0	0.11327495447481167	0.74794265204138011	1.0
FBgn0004914	FBgn0034398	15.0	15.0	0.11515685267264586	0.74788179772476693	1.0
FBgn0004170	FBgn0032455	15.0	15.0	0.10839613114927621	0.74777948448081522	1.0
FBgn0005612	FBgn0027601	15.0	15.0	0.10673422402565602	0.74754684243062608	1.0
FBgn0001981	FBgn0014026	15.0	15.0	0.10776246896886638	0.74739137145310663	1.0
FBgn0004198	FBgn0058469	15.0	15.0	0.11830721743509731	0.74725324344271649	1.0
FBgn0005660	FBgn0050035	15.0	15.0	0.10350470855661575	0.7470937702420134	1.0
FBgn0259789	FBgn0036398	15.0	15.0	0.10373380395120141	0.7470423570672694	1.0
FBgn0004396	FBgn0000658	-15.0	15.0	0.09593319106514675	0.74695184525065406	1.0
FBgn0032587	FBgn0034354	-15.0	15.0	0.10272869847251265	0.74691089942885192	1.0
FBgn0004396	FBgn0086442	-15.0	15.0	0.093912941201980071	0.74676897443749268	1.0
FBgn0004396	FBgn0014037	-15.0	15.0	0.095172075778327148	0.7466169925776206	1.0
FBgn0003345	FBgn0005585	15.0	15.0	0.099608967602005216	0.74653058560529628	1.0
FBgn0039169	FBgn0039883	15.0	15.0	0.092319907000954937	0.74616853833883523	1.0
FBgn0032940	FBgn0261113	-15.0	15.0	0.095985072423361961	0.74614647480077134	1.0
FBgn0004510	FBgn0038535	-15.0	15.0	0.084769549174515346	0.74598659111563925	1.0
FBgn0032587	FBgn0032987	-14.0	14.0	0.1364707850629106	0.69932426053282526	0.0
FBgn0000591	FBgn0083968	14.0	14.0	0.15650485201139125	0.69920501480617336	0.0
FBgn0032223	FBgn0051676	14.0	14.0	0.13215672466674389	0.69904030792899929	0.0
FBgn0003567	FBgn0027291	14.0	14.0	0.14044190708032667	0.69890341137189638	1.0
FBgn0003118	FBgn0038834	-14.0	14.0	0.12845204564231366	0.69887734561064896	1.0
FBgn0002633	FBgn0259984	14.0	14.0	0.12458502926547277	0.69876302569714621	1.0
FBgn0034946	FBgn0028686	14.0	14.0	0.13707231766944061	0.69839820766078875	0.0
FBgn0034599	FBgn0004876	14.0	14.0	0.11826437157615211	0.6983596221244539	1.0
FBgn0045759	FBgn0038868	14.0	14.0	0.11972051179472976	0.69827721737531334	1.0
FBgn0032223	FBgn0001091	-14.0	14.0	0.1148676585683453	0.69820456163136368	0.0
FBgn0004837	FBgn0027590	14.0	14.0	0.11579820439199101	0.69819491524727995	1.0
FBgn0029957	FBgn0028837	-14.0	14.0	0.1123724220179303	0.69815694543758866	1.0
